affiliatename,countryoforiginname,countryoforigincode,profilepics3key,firstname,lastname,competitorname,division,status,gender,height,affiliateid,weight,bibid,competitorid,age,overallrank,overallscore,Number of Records,ordinal,breakdown,lane,rank,heat,points,scoredisplay,time,workoutrank
CrossFit SolaFide,United States,US,68470-P57724_4-184.jpg,David,Hippensteel,David Hippensteel,Men (60+),ACT,X,1.77,44939,73.9,607,57724,63,6,400,1,1,100 pts,12,1,1,100,0.006251042,0.006251042,1
The Arena Nevada CrossFit,United States,US,8467d-P464020_6-184.jpg,Michael,Brown,Michael Brown,Men (60+),ACT,X,1.55,44853,81.6,608,464020,61,7,340,1,1,40 pts,19,7,1,40,0.007061111,0.007061111,7
Double Down CrossFit,United States,US,d29f9-P661916_2-184.jpg,Ken,Wellner,Ken Wellner,Men (60+),ACT,X,1.56,44890,79.4,604,661916,60,8,310,1,1,10 pts,17,10,1,10,0.010158681,0.010158681,10
CrossFit Beaufort,United States,US,99f37-P256405_9-184.jpg,David,Hardie,David Hardie,Men (60+),ACT,X,1.55,44949,72.6,610,256405,61,9,290,1,1,70 pts,20,4,1,70,0.006718519,0.006718519,4
CrossFit Dallas Central,United States,US,965f4-P522158_1-184.jpg,Tom,de Nolf,Tom de Nolf,Men (60+),ACT,X,1.77,44815,74.8,609,522158,60,10,140,1,1,20 pts,11,9,1,20,0.00818831,0.00818831,9
CrossFit Mayhem,Australia,AU,b8a69-P163097_3-184.jpg,Tia-Clair,Toomey,Tia-Clair Toomey,Women,ACT,F,1.65,44632,58.1,17,163097,25,1,1071,1,1,100 pts,23,1,3,100,0.011766551,0.011766551,1
CrossFit Oslo,Norway,NO,df164-P120480_7-184.jpg,Kristin,Holte,Kristin Holte,Women,ACT,F,1.65,44731,59,122,120480,33,2,876,1,1,88 pts,27,7,3,88,CAP+2,CAP+2,7
CrossFit Yas,New Zealand,NZ,101af-P264512_2-184.jpg,Jamie,Greene,Jamie Greene,Women,ACT,F,1.65,44663,61.2,123,264512,28,3,851,1,1,96 pts,24,3,3,96,0.013202199,0.013202199,3
CrossFit New England,Iceland,IS,ee582-P55121_22-184.jpg,KatrÃ­n Tanja,Davidsdottir,Katrin Tanja Davidsdottir,Women,ACT,F,1.74,44608,68,15,55121,26,4,784,1,1,60 pts,32,21,3,60,CAP+9,CAP+9,21
CrossFit Spot,United States,US,17c8c-P305891_3-184.jpg,Karissa,Pearce,Karissa Pearce,Women,ACT,F,1.62,44589,63,103,305891,30,5,714,1,1,98 pts,22,2,3,98,0.012689236,0.012689236,2
CrossFit Mayhem,United States,US,4c00e-P671666_8-184.jpg,Haley,Adams,Haley Adams,Women,ACT,F,1.71,44632,64.9,116,671666,18,6,711,1,1,94 pts,12,4,3,94,0.013202894,0.013202894,4
Centerville CrossFit,United States,US,7a4f2-P174547_5-184.jpg,Amanda,Barnhart,Amanda Barnhart,Women,ACT,F,1.74,44601,70.3,104,174547,27,7,706,1,1,64 pts,30,19,3,64,CAP+9,CAP+9,19
Streamline CrossFit,United States,US,69340-P592472_6-184.jpg,Bethany,Shadburne,Bethany Shadburne,Women,ACT,F,1.65,44951,65.8,301,592472,25,8,659,1,1,78 pts,22,12,2,78,CAP+8,CAP+8,12
CrossFit Kallithea,Greece,GR,5b3c7-P252900_1-184.jpg,Anna,Fragkou,Anna Fragkou,Women,ACT,F,1.62,44717,63,167,252900,29,9,640,1,1,80 pts,43,11,2,80,CAP+8,CAP+8,11
CrossFit Zug,Iceland,IS,4641e-P19501_6-184.jpg,Thuridur Erla,Helgadottir,Thuridur Erla Helgadottir,Women,ACT,F,1.68,44952,59,119,19501,27,10,611,1,1,74 pts,10,14,3,74,CAP+8,CAP+8,14
CrossFit Envy,United States,US,59c42-P349097_4-184.jpg,Danielle,Brandon,Danielle Brandon,Women,CUT,F,1.74,44754,68,108,349097,23,11,376,1,1,58 pts,18,22,3,58,CAP+9,CAP+9,22
CrossFit ReykjavÃ­k,Iceland,IS,15f17-P18588_4-184.jpg,Annie,Thorisdottir,Annie Thorisdottir,Women,CUT,F,1.74,44767,68.9,11,18588,29,12,370,1,1,90 pts,25,6,3,90,CAP+1,CAP+1,6
CrossFit Colosseum,Canada,CA,9bab8-P239148_10-184.jpg,Carolyne,Prevost,Carolyne Prevost,Women,CUT,F,1.62,44598,65.3,107,239148,29,13,365,1,1,42 pts,19,33,3,42,CAP+11,CAP+11,33
Diablo CrossFit,Italy,IT,a0400-P37537_14-184.jpg,Alessandra,Pichelli,Alessandra Pichelli,Women,CUT,F,1.71,44640,70.3,130,37537,33,14,365,1,1,82 pts,16,10,3,82,CAP+7,CAP+7,10
CrossFit BBros,Hungary,HU,c1412-P591912_5-184.jpg,Laura,Horvath,Laura Horvath,Women,CUT,F,1.74,44659,68.9,152,591912,22,15,356,1,1,70 pts,16,16,2,70,CAP+9,CAP+9,16
CrossFit T-Town,United States,US,16c0e-P168305_8-184.jpg,Brooke,Wells,Brooke Wells,Women,CUT,F,1.71,44603,68,102,168305,24,16,351,1,1,62 pts,29,20,3,62,CAP+9,CAP+9,20
CrossFit Saint Jerome,Canada,CA,fb6c4-P103389_9-184.jpg,Carol-Ann,Reason-Thibault,Carol-Ann Reason-Thibault,Women,CUT,F,1.68,44615,65.8,126,103389,31,17,328,1,1,56 pts,21,23,3,56,CAP+9,CAP+9,23
CrossFit Black Five,United Kingdom,GB,0e63d-P2536_14-184.jpg,Samantha,Briggs,Samantha Briggs,Women,CUT,F,1.74,44674,61.2,13,2536,37,18,318,1,1,86 pts,35,8,3,86,CAP+6,CAP+6,8
,Canada,CA,22eb9-P484380_3-184.jpg,Emily,Rolfe,Emily Rolfe,Women,CUT,F,1.74,,68,314,484380,30,19,317,1,1,21 pts,3,54,1,21,CAP+20,CAP+20,54
CrossFit Sudurnes,Iceland,IS,53249-P8859_6-184.jpg,RagnheiÃ°ur Sara,Sigmundsdottir,RagnheiÃ°ur Sara Sigmundsdottir,Women,CUT,F,1.77,44631,68.9,121,8859,26,20,294,1,1,35 pts,26,40,3,35,CAP+19,CAP+19,40
CrossFit Berserk,Ireland,IE,69815-P239442_5-184.jpg,Emma,McQuaid,Emma McQuaid,Women,CUT,F,1.68,44667,64,128,239442,29,21,255,1,1,72 pts,33,15,3,72,CAP+8,CAP+8,15
CrossFit Alpha Prime,Slovakia,SK,f5632-P698210_3-184.jpg,Karin,FreyovÃ¡,Karin FreyovÃ¡,Women,CUT,F,1.74,44724,73,127,698210,24,22,254,1,1,17 pts,20,58,3,17,CAP+22,CAP+22,58
CrossFit Urge,Australia,AU,082c4-P21556_8-184.jpg,Madeline,Sturt,Madeline Sturt,Women,CUT,F,1.58,44785,62.1,303,21556,22,23,244,1,1,84 pts,45,9,3,84,CAP+6,CAP+6,9
CrossFit Queens,United States,US,55677-P115892_12-184.jpg,Meg,Reardon,Meg Reardon,Women,CUT,F,1.71,44956,68,306,115892,27,24,243,1,1,68 pts,24,17,2,68,CAP+9,CAP+9,17
CrossFit Mentality,United States,US,25dfc-P252691_6-184.jpg,Feeroozeh,Saghafi,Feeroozeh Saghafi,Women,CUT,F,1.58,44597,57.6,112,252691,24,25,237,1,1,92 pts,15,5,3,92,CAP,CAP,5
CrossFit Northlake,United States,US,d678c-P93497_6-184.jpg,Mekenzie,Riley,Mekenzie Riley,Women,CUT,F,1.65,44607,70.3,105,93497,31,26,228,1,1,36 pts,31,39,3,36,CAP+17,CAP+17,39
SUBU CrossFit,United States,US,47a8d-P670000_4-184.jpg,Dani,Speegle,Dani Speegle,Women,CUT,F,1.71,44644,76.2,124,670000,25,27,226,1,1,52 pts,28,25,3,52,CAP+10,CAP+10,25
,United States,US,cc303-P245403_2-184.jpg,Colleen,Fotsch,Colleen Fotsch,Women,CUT,F,1.77,,75.7,117,245403,29,28,222,1,1,50 pts,40,26,3,50,CAP+11,CAP+11,26
,Sweden,SE,b64c8-P2088_7-184.jpg,Camilla,Salomonsson Hellman,Camilla Salomonsson Hellman,Women,CUT,F,1.68,,67.6,131,2088,28,29,208,1,1,31 pts,37,44,3,31,CAP+19,CAP+19,44
CrossFit Dux,Australia,AU,1cb92-P477709_2-184.jpg,Courtney,Haley,Courtney Haley,Women,CUT,F,1.68,44775,68.9,118,477709,24,30,191,1,1,66 pts,41,18,3,66,CAP+9,CAP+9,18
CrossFit Vertex,United States,US,e32e0-P531598_13-184.jpg,Paige,Semenza,Paige Semenza,Women,CUT,F,1.62,44900,64.9,310,531598,27,31,171,1,1,54 pts,17,24,2,54,CAP+10,CAP+10,24
CrossFit Kungsholmen,Sweden,SE,45a8f-P887297_1-184.jpg,Emma,Tall,Emma Tall,Women,CUT,F,1.71,44957,69.9,305,887297,27,32,168,1,1,48 pts,46,27,1,48,CAP+11,CAP+11,27
CrossFit Iron Industry,United States,US,e5119-P106129_14-184.jpg,Carrie,Beamer,Carrie Beamer,Women,CUT,F,1.62,44653,61.2,114,106129,27,33,167,1,1,34 pts,38,41,3,34,CAP+19,CAP+19,41
CrossFit Lyon,France,FR,e0d82-P330326_3-184.jpg,Carole,Castellani,Carole Castellani,Women,CUT,F,1.74,44611,68.9,138,330326,30,34,156,1,1,44 pts,7,31,3,44,CAP+11,CAP+11,31
CrossFit Ballina,United States,US,82da0-P43198_4-184.jpg,Lindsay,Vaughan,Lindsay Vaughan,Women,CUT,F,1.77,44958,69.9,311,43198,34,35,152,1,1,32 pts,31,43,2,32,CAP+19,CAP+19,43
,Switzerland,CH,bd785-P390443_1-184.jpg,Alessia Joy,WÃ¤lchli,Alessia Joy WÃ¤lchli,Women,CUT,F,1.71,,66.2,144,390443,25,36,152,1,1,28 pts,29,47,2,28,CAP+19,CAP+19,47
CrossFit El Camino,Chile,CL,c96ac-P635438_2-184.jpg,Simona,Quintana,Simona Quintana,Women,CUT,F,1.71,44657,64.9,146,635438,23,37,141,1,1,23 pts,20,52,2,23,CAP+20,CAP+20,52
CrossFit Riders,Sweden,SE,cd349-P796219_2-184.jpg,Hanna,Karlsson,Hanna Karlsson,Women,CUT,F,1.8,44592,79.8,309,796219,26,38,132,1,1,33 pts,47,42,1,33,CAP+19,CAP+19,42
CrossFit EHOH,Iceland,IS,08a04-P96750_7-184.jpg,OddrÃºn Eik,Gylfadottir,OddrÃºn Eik Gylfadottir,Women,CUT,F,1.65,44953,58.1,308,96750,30,39,125,1,1,76 pts,33,13,2,76,CAP+8,CAP+8,13
CrossFit Tradition,United States,US,f4527-P9759_2-184.jpg,Cheryl,Nasso,Cheryl Nasso,Women,CUT,F,1.65,44955,56.7,120,9759,34,40,122,1,1,38 pts,42,37,3,38,CAP+16,CAP+16,37
CrossFit 915,United States,US,733ab-P279929_7-184.jpg,Rachel,Garibay,Rachel Garibay,Women,CUT,F,0.15,44959,59,312,279929,27,41,100,1,1,26 pts,4,49,1,26,CAP+20,CAP+20,49
,South Africa,ZA,1a090-P505225_1-184.jpg,Michelle,Merand,Michelle Merand,Women,CUT,F,1.58,,59.9,304,505225,30,42,98,1,1,30 pts,6,45,1,30,CAP+19,CAP+19,45
Tantum CrossFit,Bosnia and Herzegovina,BA,d51a9-P667707_5-184.jpg,Ksenija,Kecman,Ksenija Kecman,Women,CUT,F,1.55,44690,68.9,185,667707,30,43,90,1,1,46 pts,22,29,1,46,CAP+11,CAP+11,29
,United States,US,acfbd-P238208_6-184.jpg,Katie,Trombetta,Katie Trombetta,Women,CUT,F,1.62,,67.1,113,238208,28,44,89,1,1,43 pts,14,32,3,43,CAP+11,CAP+11,32
CrossFit Punt Uit,Netherlands,NL,ca838-P248235_6-184.jpg,Leonie,Henrich,Leonie Henrich,Women,CUT,F,1.74,44671,71.2,143,248235,25,45,86,1,1,45 pts,23,30,2,45,CAP+11,CAP+11,30
InnerFight CrossFit DXB,Belgium,BE,127c3-P103617_4-184.jpg,Carmen,Bosmans,Carmen Bosmans,Women,CUT,F,1.71,44652,69.9,137,103617,30,46,80,1,1,41 pts,44,34,3,41,CAP+11,CAP+11,34
C23 CrossFit,Norway,NO,162ae-P299053_2-184.jpg,Jacqueline,DahlstrÃ¸m,Jacqueline DahlstrÃ¸m,Women,CUT,F,1.71,44735,67.1,111,299053,27,47,77,1,1,40 pts,36,35,3,40,CAP+12,CAP+12,35
CrossFit Limassol,Cyprus,CY,d31dd-P258629_1-184.jpg,Thelma,Christoforou,Thelma Christoforou,Women,CUT,F,1.71,44668,64.9,140,258629,32,48,74,1,1,47 pts,25,28,2,47,CAP+11,CAP+11,28
Kingbull CrossFit,Paraguay,PY,67b53-P452187_3-184.jpg,Carol,Colling-Romero,Carol Colling-Romero,Women,CUT,F,1.58,44630,55.8,164,452187,26,49,71,1,1,39 pts,10,36,2,39,CAP+13,CAP+13,36
CrossFit Vero Beach,United States,US,70cfb-P871307_4-184.jpg,McKenzie,Flinchum,McKenzie Flinchum,Women,CUT,F,1.68,44604,66.7,109,871307,27,50,69,1,1,20 pts,34,55,3,20,CAP+21,CAP+21,55
CrossFit Jackhammer,Germany,DE,52c51-P527011_4-184.jpg,Lisa,Eble,Lisa Eble,Women,CUT,F,1.62,44648,65.8,149,527011,28,51,54,1,1,22 pts,18,53,2,22,CAP+20,CAP+20,53
Root 18 CrossFit,United States,US,9a3bd-P151555_4-184.jpg,Erin,Vandendriessche,Erin Vandendriessche,Women,CUT,F,1.74,44954,65.8,307,151555,28,52,48,1,1,8 pts,5,67,1,8,CAP+30,CAP+30,67
CrossFit 19.05,Russian Federation,RU,e50bc-P238026_2-184.jpg,Anastasiya,Ganina,Anastasiya Ganina,Women,CUT,F,1.74,44670,68.9,142,238026,34,53,46,1,1,27 pts,28,48,2,27,CAP+19,CAP+19,48
CrossFit SkyLight,Turkey,TR,fdbbe-P350442_5-184.jpg,Neyran,Guneli,Neyran Guneli,Women,CUT,F,1.74,44759,68,182,350442,37,54,45,1,1,37 pts,28,38,1,37,CAP+16,CAP+16,38
Crucible CrossFit,United States,US,da460-P115239_4-184.jpg,Brooke,Haas,Brooke Haas,Women,CUT,F,1.62,44594,68.9,110,115239,30,55,44,1,1,15 pts,17,60,3,15,CAP+22,CAP+22,60
CrossFit Tigran,Mexico,MX,9a8bc-P242149_5-184.jpg,Brenda,Castro,Brenda Castro,Women,CUT,F,1.65,44639,62.6,148,242149,30,56,43,1,1,0 pts,19,75,2,0,CAP+30,CAP+30,75
CrossFit Kreis 9,Finland,FI,4afa1-P39517_4-184.jpg,Emilia,Leppanen,Emilia Leppanen,Women,CUT,F,1.68,44725,68,135,39517,32,57,40,1,1,29 pts,43,46,3,29,CAP+19,CAP+19,46
CrossFit Hanuman,France,FR,763c8-P120277_6-184.jpg,Sabrina,Caron,Sabrina Caron,Women,CUT,F,1.62,44970,58.1,315,120277,27,58,36,1,1,25 pts,21,50,2,25,CAP+20,CAP+20,50
CrossFit RI,Australia,AU,bbd68-P120247_2-184.jpg,Katelin,Van Zyl,Katelin Van Zyl,Women,CUT,F,1.74,44616,68,115,120247,27,59,36,1,1,16 pts,39,59,3,16,CAP+22,CAP+22,59
CrossFit Valeo,Bulgaria,BG,b8f90-P215510_5-184.jpg,Ralitza,Koterlitzova,Ralitza Koterlitzova,Women,CUT,F,1.62,44692,61.2,161,215510,30,60,35,1,1,24 pts,40,51,2,24,CAP+20,CAP+20,51
,Croatia,HR,d6dbe-P120265_4-184.jpg,Tamara,Zulim,Tamara Zulim,Women,CUT,F,1.74,,59.9,174,120265,35,61,35,1,1,12 pts,5,63,2,12,CAP+23,CAP+23,63
Faster CrossFit,Colombia,CO,71d0d-P1299203_3-184.jpg,Maria Camila,Quintero,Maria Camila Quintero,Women,CUT,F,1.55,44642,59,159,1299203,23,62,34,1,1,6 pts,39,69T,2,6,CAP+30,CAP+30,69T
Blues City CrossFit,United States,US,2a499-P235110_4-184.jpg,Taylor,Streid,Taylor Streid,Women,CUT,F,1.71,44950,63.5,302,235110,28,63,32,1,1,14 pts,26,61,2,14,CAP+22,CAP+22,61
CrossFit White City,Israel,IL,8e861-P855131_2-184.jpg,Nicole,Pettel,Nicole Pettel,Women,CUT,F,1.62,44740,68,156,855131,27,64,28,1,1,4 pts,14,71,2,4,CAP+30,CAP+30,71
CrossFit Gurkha,Brazil,BR,04e97-P485089_5-184.jpg,Renata,Pimentel,Renata Pimentel,Women,CUT,F,1.8,44609,73,136,485089,36,65,28,1,1,13 pts,8,62,3,13,CAP+22,CAP+22,62
Igone CrossFit,Trinidad and Tobago,TT,c08ce-P244718_1-184.jpg,Lyndsay,Murray,Lyndsay Murray,Women,CUT,F,1.74,44620,58.1,200,244718,29,66,27,1,1,19 pts,15,56,1,19,CAP+22,CAP+22,56
CrossFit Minatomirai,Japan,JP,47204-P1055578_2-184.jpg,Akiko,Kamitani,Akiko Kamitani,Women,CUT,F,1.55,44710,52.2,170,1055578,30,67,26,1,1,18 pts,7,57,2,18,CAP+22,CAP+22,57
CrossFit Tecun Uman,Guatemala,GT,9b212-P359849_9-184.jpg,Vera,Valdez,Vera Valdez,Women,CUT,F,1.65,44771,59,166,359849,30,68,21,1,1,6 pts,9,69T,2,6,CAP+30,CAP+30,69T
Reebok CrossFit Valens,Luxembourg,LU,ed5a6-P331478_1-184.jpg,Jacky,Schmitt,Jacky Schmitt,Women,CUT,F,1.68,44664,60.8,183,331478,25,69,19,1,1,11 pts,23,64,1,11,CAP+24,CAP+24,64
Avant Garde CrossFit,Philippines,PH,dfb4b-P477570_4-184.jpg,Kristen,Lim,Kristen Lim,Women,CUT,F,1.65,44742,66.7,157,477570,26,70,18,1,1,1 pts,38,74,2,1,CAP+30,CAP+30,74
,Austria,AT,202f1-P227678_3-184.jpg,Vanessa,Wagner,Vanessa Wagner,Women,CUT,F,1.74,,64.9,141,227678,28,71,18,1,1,3 pts,27,72,2,3,CAP+30,CAP+30,72
CrossFit Wolvish,India,IN,pukie.png,Sanjana,Sivasalapathi,Sanjana Sivasalapathi,Women,CUT,F,1.62,44622,54.4,169,728984,26,72,18,1,1,10 pts,44,65,2,10,CAP+27,CAP+27,65
CrossFit October,Ukraine,UA,61057-P156732_2-184.jpg,Ganna,Almazova,Ganna Almazova,Women,CUT,F,1.68,44686,63,147,156732,32,73,17,1,1,9 pts,32,66,2,9,CAP+29,CAP+29,66
Lofteriet CrossFit,Denmark,DK,b4c66-P695821_4-184.jpg,Julie,HougÃ¥rd,Julie HougÃ¥rd,Women,WD,F,1.77,44679,68,133,695821,27,74,15,1,1,7 pts,11,68,3,7,CAP+30,CAP+30,68
CrossFit Walleye,Sweden,SE,afea2-P468509_1-184.jpg,Alice,Mille,Alice Mille,Women,CUT,F,1.8,44960,68.9,313,468509,25,75,10,1,1,2 pts,48,73,1,2,CAP+30,CAP+30,73
Morpho CrossFit,Costa Rica,CR,2c947-P517771_2-184.jpg,Marisol,Umana,Marisol Umana,Women,CUT,F,1.52,44764,57.2,172,517771,35,76,-1,1,1,-1 pts,6,76,2,-1,CAP+30,CAP+30,76
CrossFit 72D,Poland,PL,51d72-P764556_4-184.jpg,Gabriela,MigaÅ‚a,Gabriela Miga?a,Women,CUT,F,1.74,44654,72.1,132,764556,20,77,-2,1,1,-2 pts,13,77,3,-2,CAP+30,CAP+30,77
CrossFit Norte Redondela,Spain,ES,9154c-P683305_3-184.jpg,Sara Alicia,Fernandez Costas,Sara Alicia Fernandez Costas,Women,CUT,F,1.58,44727,64,139,683305,29,78,-3,1,1,-3 pts,6,78,3,-3,CAP+31,CAP+31,78
Altair CrossFit,Peru,PE,80020-P295501_4-184.jpg,Sofia,Bermeo,Sofia Bermeo,Women,CUT,F,1.71,44770,65.8,158,295501,31,79,-4,1,1,-4 pts,13,79,2,-4,CAP+31,CAP+31,79
,Malta,MT,pukie.png,Jessica,Borg Ghigo,Jessica Borg Ghigo,Women,CUT,F,1.71,,69.9,165,1119795,35,80,-5,1,1,-5 pts,42,80,2,-5,CAP+31,CAP+31,80
Freakin CrossFit,Nicaragua,NI,4a502-P978472_1-184.jpg,Fernanda,Saavedra,Fernanda Saavedra,Women,CUT,F,1.62,44720,63.5,180,978472,26,81,-6,1,1,-6 pts,27,81,1,-6,CAP+32,CAP+32,81
CrossFit With Us,Czech Republic,CZ,a4796-P663979_1-184.jpg,Sona,Karaskova,Sona Karaskova,Women,CUT,F,1.71,44666,72.1,150,663979,31,82,-7,1,1,-7 pts,34,82,2,-7,CAP+32,CAP+32,82
CrossFit Engine 38,Oman,OM,b92ff-P498697_3-184.jpg,Pasent,Medhat,Pasent Medhat,Women,CUT,F,1.58,44697,58.1,192,498697,31,83,-8,1,1,-8 pts,33,83,1,-8,CAP+33,CAP+33,83
,Dominican Republic,DO,48a12-P1351483_1-184.jpg,Sheerly,Bueno Reyes,Sheerly Bueno Reyes,Women,CUT,F,0.15,,55.3,178,1351483,21,84,-9,1,1,-9 pts,26,84,1,-9,CAP+34,CAP+34,84
CrossFit San Pedro Town,Belize,BZ,a6c01-P922058_1-184.jpg,Cricel,Castillo,Cricel Castillo,Women,CUT,F,1.52,44625,54.4,189,922058,30,85,-10,1,1,-10 pts,20,85,1,-10,CAP+36,CAP+36,85
CrossFit MetaliZe,United Arab Emirates,AE,b28bf-P953791_2-184.jpg,Shahad,Budebs,Shahad Budebs,Women,CUT,F,1.62,44623,55.8,176,953791,24,86,-11,1,1,-11 pts,4,86,2,-11,CAP+36,CAP+36,86
Tallinn CrossFit,Estonia,EE,247da-P1217058_4-184.jpg,Anastassia,Psenitsnaja,Anastassia Psenitsnaja,Women,CUT,F,1.74,44661,68.9,181,1217058,24,87,-12,1,1,-12 pts,24,87,1,-12,CAP+37,CAP+37,87
CrossFit Limburg,Indonesia,ID,3bfbc-P899345_1-184.jpg,Citra,Ramaniya,Citra Ramaniya,Women,CUT,F,1.58,44716,58.1,191,899345,36,88,-13,1,1,-13 pts,19,88,1,-13,CAP+40,CAP+40,88
CrossFit 965,Kuwait,KW,7a441-P297753_3-184.jpg,Hajer,Jamal,Hajer Jamal,Women,CUT,F,1.55,44619,61.2,196,297753,32,89,-14,1,1,-14 pts,35,89,1,-14,CAP+40,CAP+40,89
CrossFit Ramallah,Palestinian Territory,PS,92818-P661734_2-184.jpg,Marian,Khoury,Marian Khoury,Women,CUT,F,1.65,44729,56.7,212,661734,26,90,-15,1,1,-15 pts,10,90,1,-15,CAP+40,CAP+40,90
Diablo CrossFit,Namibia,NA,dd19f-P106380_2-184.jpg,Lara,Erlank,Lara Erlank,Women,CUT,F,1.71,44640,70.3,173,106380,31,91,-16,1,1,-16 pts,46,91,2,-16,CAP+40,CAP+40,91
Reebok CrossFit PTY,Panama,PA,e9518-P1237131_1-184.jpg,Luaneth,Alveo,Luaneth Alveo,Women,CUT,F,0.03,44633,58.1,179,1237131,20,92T,-17,1,1,-17 pts,25,92T,1,-17,CAP+41,CAP+41,92T
,Malaysia,MY,67c12-P451905_1-184.jpg,Amira,Ayob,Amira Ayob,Women,CUT,F,1.55,,54,199,451905,28,92T,-17,1,1,-17 pts,36,92T,1,-17,CAP+41,CAP+41,92T
Barra Norte CrossFit,Bolivia,BO,575cb-P737357_4-184.jpg,Martha,Berrocal,Martha Berrocal,Women,CUT,F,1.65,44748,58.1,155,737357,32,92T,-17,1,1,-17 pts,37,92T,2,-17,CAP+41,CAP+41,92T
,Romania,RO,0bf75-P456619_5-184.jpg,Oana Catalina,Chelmus,Oana Catalina Chelmus,Women,CUT,F,1.62,,59.9,151,456619,32,92T,-17,1,1,-17 pts,35,92T,2,-17,CAP+41,CAP+41,92T
Mad Hall CrossFit,Belarus,BY,a58e2-P685943_1-184.jpg,Tatiana,Diakou,Tatiana Diakou,Women,CUT,F,1.68,44744,68,184,685943,19,92T,-17,1,1,-17 pts,29,92T,1,-17,CAP+41,CAP+41,92T
