affiliatename,countryoforiginname,countryoforigincode,profilepics3key,firstname,lastname,competitorname,division,status,gender,height,affiliateid,weight,bibid,competitorid,age,overallrank,overallscore,Number of Records,ordinal,breakdown,lane,rank,heat,points,scoredisplay,time,workoutrank
CrossFit Towards,Barbados,BB,89fcb-P239902_2-184.jpg,Kira,Oliver,Kira Oliver,Women,CUT,F,1.74,44624,59,190,239902,37,92T,-17,1,1,-17 pts,32,92T,1,-17,CAP+41,CAP+41,92T
Lycan CrossFit,Ecuador,EC,2985b-P239210_3-184.jpg,Andrea,Rodriguez,Andrea Rodriguez,Women,CUT,F,1.68,44629,74.8,171,239210,33,92T,-17,1,1,-17 pts,45,92T,2,-17,CAP+41,CAP+41,92T
,Argentina,AR,9fb3f-P534577_4-184.jpg,Melina,Rodriguez,Melina Rodriguez,Women,CUT,F,1.55,,62.6,134,534577,23,92T,-17,1,1,-17 pts,9,92T,3,-17,CAP+41,CAP+41,92T
CrossFit Tijger Valley,South Africa,ZA,2b314-P101929_8-184.jpg,Dina,Swift,Dina Swift,Women,CUT,F,1.55,44637,79.8,154,101929,30,92T,-17,1,1,-17 pts,15,92T,2,-17,CAP+41,CAP+41,92T
Rock CrossFit Paramaribo,Suriname,SR,95aa1-P1280595_1-184.jpg,Ava,Zalman,Ava Zalman,Women,CUT,F,1.71,44763,62.1,210,1280595,17,92T,-17,1,1,-17 pts,11,92T,1,-17,CAP+41,CAP+41,92T
CrossFit Zest,"Korea, Republic of",KR,8161e-P56664_8-184.jpg,Heidi,Choi,Heidi Choi,Women,CUT,F,1.65,44646,58.1,162,56664,33,102T,-27,1,1,-27 pts,11,102T,2,-27,CAP+42 ,CAP+42,102T
CrossFit Mobilus,Singapore,SG,a06df-P444527_6-184.jpg,Landy Pui Boon,Eng,Landy Pui Boon Eng,Women,CUT,F,1.62,44712,59.9,187,444527,30,102T,-27,1,1,-27 pts,21,102T,1,-27,CAP+42 ,CAP+42,102T
CrossFit Tycoons,Egypt,EG,6dcab-P1192351_3-184.jpg,Aya,Fouad,Aya Fouad,Women,CUT,F,1.55,44703,59.9,163,1192351,25,102T,-27,1,1,-27 pts,41,102T,2,-27,CAP+42 ,CAP+42,102T
CrossFit Del Sur,Uruguay,UY,527ab-P345836_15-184.jpg,Victoria,Frascolla,Victoria Frascolla,Women,CUT,F,1.68,44706,59.9,175,345836,28,102T,-27,1,1,-27 pts,47,102T,2,-27,CAP+42 ,CAP+42,102T
CrossFit Al Ain,Syrian Arab Republic,SY,8b303-P1203632_1-184.jpg,Alaa,Hannora,Alaa Hannora,Women,CUT,F,1.55,44660,53.1,211,1203632,32,102T,-27,1,1,-27 pts,41,102T,1,-27,CAP+42 ,CAP+42,102T
CrossFit X Ray,China,CN,b9435-P893571_1-184.jpg,Tsai-Jui,Hung,Tsai-Jui Hung,Women,CUT,F,1.65,44718,63,168,893571,26,102T,-27,1,1,-27 pts,8,102T,2,-27,CAP+42 ,CAP+42,102T
Reebok CrossFit 673,Brunei Darussalam,BN,70370-P586509_3-184.jpg,Nina,Juna,Nina Juna,Women,CUT,F,1.58,44730,59.9,193,586509,27,102T,-27,1,1,-27 pts,18,102T,1,-27,CAP+42 ,CAP+42,102T
CrossFit Ain Diab,Morocco,MA,a709f-P1037933_2-184.jpg,Sanaa,Mandar,Sanaa Mandar,Women,CUT,F,1.68,44745,65.8,205,1037933,31,102T,-27,1,1,-27 pts,39,102T,1,-27,CAP+42 ,CAP+42,102T
CrossFit TDS (Inactive),Kenya,KE,014fc-P1111705_1-184.jpg,Sheena,Miller,Sheena Miller,Women,CUT,F,1.8,44656,68,204,1111705,36,102T,-27,1,1,-27 pts,13,102T,1,-27,CAP+42 ,CAP+42,102T
,Honduras,HN,4fb38-P687711_1-184.jpg,Gabriela,Perez,Gabriela Perez,Women,CUT,F,1.71,,61.2,160,687711,28,102T,-27,1,1,-27 pts,12,102T,2,-27,CAP+42 ,CAP+42,102T
CrossFit Feira,Portugal,PT,7e476-P382954_2-184.jpg,Sara,Pinto,Sara Pinto,Women,CUT,F,1.65,44675,60.8,153,382954,30,102T,-27,1,1,-27 pts,36,102T,2,-27,CAP+42 ,CAP+42,102T
Reebok CrossFit Louvre,Tunisia,TN,fa495-P106999_5-184.jpg,Jessica,Sanki,Jessica Sanki,Women,CUT,F,1.68,44678,65.8,194,106999,38,102T,-27,1,1,-27 pts,34,102T,1,-27,CAP+42 ,CAP+42,102T
CrossFit 309,Lebanon,LB,892e3-P1169213_1-184.jpg,Danielle,Shanine,Danielle Shanine,Women,CUT,F,1.58,44694,57.6,195,1169213,26,102T,-27,1,1,-27 pts,17,102T,1,-27,CAP+42 ,CAP+42,102T
Patriot CrossFit,Lithuania,LT,6a0f9-P246355_1-184.jpg,Vilija,Teel,Vilija Teel,Women,CUT,F,1.71,44641,63.5,198,246355,43,102T,-27,1,1,-27 pts,16,102T,1,-27,CAP+42 ,CAP+42,102T
CrossFit Fortaleza,El Salvador,SV,930f8-P671201_1-184.jpg,Patricia,Trujillo,Patricia Trujillo,Women,CUT,F,1.25,44769,52.2,201,671201,44,102T,-27,1,1,-27 pts,37,102T,1,-27,CAP+42 ,CAP+42,102T
CrossFit 592,Guyana,GY,69fd3-P1131171_2-184.jpg,Delice,Adonis,Delice Adonis,Women,CUT,F,1.74,44709,66.7,206,1131171,21,117T,-42,1,1,-42 pts,12,117T,1,-42,CAP+43 ,CAP+43,117T
CrossFit 962,Jordan,JO,6645e-P419506_4-184.jpg,Dema,Al Zebdieh,Dema Al Zebdieh,Women,CUT,F,1.8,44638,73.9,177,419506,33,117T,-42,1,1,-42 pts,48,117T,2,-42,CAP+43 ,CAP+43,117T
CrossFit AlKhobar,Saudi Arabia,SA,8ca67-P768482_1-184.jpg,Amal,Alshahrani,Amal Alshahrani,Women,CUT,F,1.68,44682,69.9,202,768482,34,117T,-42,1,1,-42 pts,14,117T,1,-42,CAP+43 ,CAP+43,117T
Super Set CrossFit,Mozambique,MZ,48d77-P1521380_1-184.jpg,Zaida,Amade,Zaida Amade,Women,CUT,F,1.68,44772,59.9,221,1521380,41,117T,-42,1,1,-42 pts,45,117T,1,-42,CAP+43 ,CAP+43,117T
CrossFit NWA,Samoa,WS,d8398-P488881_2-184.jpg,MariaNive,Clark,MariaNive Clark,Women,CUT,F,0.15,44634,73,203,488881,37,117T,-42,1,1,-42 pts,38,117T,1,-42,CAP+43 ,CAP+43,117T
CrossFit Soul Miami,Venezuela,VE,3109d-P277184_5-184.jpg,Laura,Gonzalez-Marin,Laura Gonzalez-Marin,Women,CUT,F,1.74,44612,72.1,145,277184,25,117T,-42,1,1,-42 pts,30,117T,2,-42,CAP+43 ,CAP+43,117T
,Latvia,LV,ca655-P683201_2-184.jpg,Krista,Kraskura,Krista Kraskura,Women,CUT,F,1.77,,65.8,186,683201,27,117T,-42,1,1,-42 pts,30,117T,1,-42,CAP+43 ,CAP+43,117T
CrossFit Potcake,Bahamas,BS,6dd13-P280553_2-184.jpg,Chanelle,Munroe,Chanelle Munroe,Women,CUT,F,1.65,44714,73.5,219,280553,41,117T,-42,1,1,-42 pts,7,117T,1,-42,CAP+43 ,CAP+43,117T
Norwottuck CrossFit,Pakistan,PK,e4975-P975294_2-184.jpg,Mishka,Murad,Mishka Murad,Women,CUT,F,1.65,44613,56.2,217,975294,34,117T,-42,1,1,-42 pts,8,117T,1,-42,CAP+43 ,CAP+43,117T
CrossFit Thao Dien,Viet Nam,VN,6bfa4-P1176528_1-184.jpg,Trang,Nguyen,Trang Nguyen,Women,CUT,F,1.62,44746,57.2,216,1176528,27,117T,-42,1,1,-42 pts,43,117T,1,-42,CAP+43 ,CAP+43,117T
CrossFit Gaborone,Botswana,BW,0f8c9-P1218177_1-184.jpg,Cingiwe Ciegy,Seru,Cingiwe Ciegy Seru,Women,CUT,F,1.62,44749,63,215,1218177,35,117T,-42,1,1,-42 pts,9,117T,1,-42,CAP+43 ,CAP+43,117T
La Borda CrossFit,Andorra,AD,5202e-P1243131_2-184.jpg,Miriam,Torra,Miriam Torra Sola,Women,CUT,F,1.74,44721,64,208,1243131,25,117T,-42,1,1,-42 pts,40,117T,1,-42,CAP+43 ,CAP+43,117T
,Serbia,RS,f57ff-P1521928_1-184.jpg,Tamara,TrumbetaÅ¡,Tamara TrumbetaÅ¡,Women,CUT,F,1.65,,64.9,188,1521928,23,117T,-42,1,1,-42 pts,31,117T,1,-42,CAP+43 ,CAP+43,117T
CrossFit Ceylon,Sri Lanka,LK,823ae-P661943_1-184.jpg,Keshini,Vitharana,Keshini Vitharana,Women,CUT,F,0.15,44728,59,214,661943,22,117T,-42,1,1,-42 pts,42,117T,1,-42,CAP+43 ,CAP+43,117T
UPT CrossFit,Mauritius,MU,pukie.png,Melanie,Yip Woon Sun,Melanie Yip Woon Sun,Women,CUT,F,1.68,44635,77.1,218,889971,33,117T,-42,1,1,-42 pts,44,117T,1,-42,CAP+43 ,CAP+43,117T
T2 CrossFit,United States,US,8bf0d-P9440_13-184.jpg,Anna,Tobias,Anna Tobias,Women (35-39),ACT,X,1.71,44912,64.9,356,9440,36,1,690,1,1,80 pts,8,3,1,80,0.002241782,0.002241782,3
CrossFit Saint Helens,United States,US,b663a-P16973_6-184.jpg,Carleen,Mathews,Carleen Mathews,Women (35-39),ACT,X,1.58,44928,62.1,357,16973,35,2,600,1,1,100 pts,2,1,1,100,0.002206597,0.002206597,1
CrossFit Training Yard,United States,US,ca744-P8015_6-184.jpg,Rebecca,Voigt Miller,Rebecca Voigt Miller,Women (35-39),ACT,X,1.8,44937,68.9,354,8015,38,3,580,1,1,40 pts,7,7,1,40,0.002272454,0.002272454,7
CrossFit Billings,United States,US,f204b-P313257_1-184.jpg,Hope,Cicero,Hope Cicero,Women (35-39),ACT,X,1.55,44910,61.2,353,313257,36,4,540,1,1,90 pts,4,2,1,90,0.002230208,0.002230208,2
CrossFit Active,New Zealand,NZ,619ba-P235218_4-184.jpg,Alethea,Boon,Alethea Boon,Women (35-39),ACT,X,1.62,44888,59,352,235218,35,5,530,1,1,50 pts,6,6,1,50,0.002266898,0.002266898,6
CrossFit Turicum,Switzerland,CH,f9da1-P290001_8-184.jpg,Ursula,Fasel,Ursula Fasel,Women (35-39),ACT,X,1.68,44823,62.1,351,290001,38,6,420,1,1,70 pts,5,4,1,70,0.00226169,0.00226169,4
Etto CrossFit,Brazil,BR,200a7-P527325_6-184.jpg,Susana,Rodrigues Etto,Susana Rodrigues Etto,Women (35-39),ACT,X,1.55,44828,64.9,355,527325,35,7,330,1,1,10 pts,3,10,1,10,0.002422454,0.002422454,10
CrossFit Invictus,United States,US,pukie.png,Jenn,Ryan,Jenn Ryan,Women (35-39),ACT,X,1.58,44591,59,alt,51083,39,8,320,1,1,20 pts,9,9,1,20,0.002345833,0.002345833,9
CrossFit SEO,United States,US,9a98a-P26745_4-184.jpg,Jolene,Quirke,Jolene Quirke,Women (35-39),ACT,X,1.52,44841,54.4,360,26745,35,9,290,1,1,60 pts,10,5,1,60,0.002262616,0.002262616,5
Great Woods CrossFit,United States,US,11635-P121354_1-184.jpg,Corrin,Lemieux,Corrin Lemieux,Women (35-39),ACT,X,1.68,44921,66.7,359,121354,36,10,130,1,1,30 pts,1,8,1,30,0.002284375,0.002284375,8
CrossFit Train 97333,United States,US,71296-P259327_11-184.jpg,Joey,Kimdon,Joey Kimdon,Women (40-44),ACT,X,1.55,44922,56.7,402,259327,41,1,700,1,1,100 pts,6,1,1,100,0.002297454,0.002297454,1
CrossFit Southampton,United Kingdom,GB,0fa8a-P107129_1-184.jpg,Kelly,Friel,Kelly Friel,Women (40-44),ACT,X,1.74,44903,72.1,407,107129,41,2,610,1,1,40 pts,2,7,1,40,0.002458449,0.002458449,7
CrossFit Indestri,Canada,CA,4c061-P421299_1-184.jpg,Deanna,Posey,Deanna Posey,Women (40-44),ACT,X,1.71,44843,67.1,401,421299,40,3,560,1,1,50 pts,5,6,1,50,0.002427199,0.002427199,6
Codite CrossFit,United States,US,5ac62-P226482_2-184.jpg,Jenna,Larson,Jenna Larson,Women (40-44),ACT,X,1.68,44941,65.8,403,226482,40,4,510,1,1,70 pts,4,4,1,70,0.002402894,0.002402894,4
Battersea District CrossFit,United Kingdom,GB,b32a9-P434123_1-184.jpg,Alexis,Rufus,Alexis Rufus,Women (40-44),ACT,X,1.65,44881,63,410,434123,40,5,500,1,1,60 pts,10,5,1,60,0.002411227,0.002411227,5
CrossFit Majestic,United States,US,bea07-P256330_7-184.jpg,Michelle,Suozzi,Michelle Suozzi,Women (40-44),ACT,X,1.65,44867,68,404,256330,42,6,460,1,1,80 pts,7,3,1,80,0.002352083,0.002352083,3
CrossFit Springfield,United States,US,c07cf-P172716_6-184.jpg,Melissa,Wistrom,Melissa Wistrom,Women (40-44),ACT,X,1.52,44882,52.2,405,172716,41,7,420,1,1,20 pts,3,9,1,20,0.0024875,0.0024875,9
CrossFit Majestic,United States,US,1f43b-P650145_1-184.jpg,Kim,Mullins,Kim Mullins,Women (40-44),ACT,X,1.68,44867,70.3,409,650145,41,8,310,1,1,10 pts,1,10,1,10,0.002547569,0.002547569,10
CrossFit Adm,Canada,CA,ea1cd-P15182_13-184.jpg,Stephanie,Roy,Stephanie Roy,Women (40-44),CUT,X,1.68,44920,63.5,408,15182,41,9,160,1,1,90 pts,9,2,1,90,0.002344213,0.002344213,2
CrossFit Viento,United States,US,fb886-P12348_5-184.jpg,Karen,McCadam,Karen McCadam,Women (40-44),WD,X,1.71,44897,66.7,406,12348,44,10,40,1,1,30 pts,8,8,1,30,0.002482523,0.002482523,8
CrossFit Trison,United States,US,90575-P9184_11-184.jpg,Janet,Black,Janet Black,Women (45-49),ACT,X,1.65,44914,66.7,452,9184,45,1,640,1,1,100 pts,6,1,1,100,0.002366088,0.002366088,1
Spartan CrossFit,United States,US,27b53-P244482_5-184.jpg,Semma,Burba,Semma Burba,Women (45-49),ACT,X,1.71,44835,62.6,460,244482,45,2,600,1,1,90 pts,10,2,1,90,0.002376042,0.002376042,2
Endeavor Fitness CrossFit Invermere,Canada,CA,be7b0-P21214_9-184.jpg,Jolaine,Undershute,Jolaine Undershute,Women (45-49),ACT,X,1.55,44864,66.2,451,21214,47,3,580,1,1,70 pts,5,4,1,70,0.002390162,0.002390162,4
CrossFit Advanced,United States,US,d16f3-P413700_4-184.jpg,Tracy,O'Connell,Tracy O'Connell,Women (45-49),ACT,X,1.55,44854,57.2,454,413700,47,4,550,1,1,60 pts,7,5,1,60,0.002439699,0.002439699,5
CrossFit Reston,United States,US,29bee-P294840_1-184.jpg,Stephanie,Brennan,Stephanie Brennan,Women (45-49),ACT,X,1.74,44933,64.9,457,294840,45,5,520,1,1,40 pts,2,7,1,40,0.002517824,0.002517824,7
Pee Dee CrossFit,United States,US,ef9b6-P178647_2-184.jpg,Nicole,Abbott,Nicole Abbott,Women (45-49),ACT,X,1.68,44918,61.2,456,178647,46,6,410,1,1,80 pts,8,3,1,80,0.002383218,0.002383218,3
CrossFit AllStar,United States,US,755c1-P8770_4-184.jpg,Cheryl,Brost,Cheryl Brost,Women (45-49),ACT,X,1.58,44869,60.3,455,8770,48,7,390,1,1,50 pts,3,6,1,50,0.002456713,0.002456713,6
C4 CrossFit,United States,US,35cb9-P8618_9-184.jpg,Aida,Koepplinger,Aida Koepplinger,Women (45-49),ACT,X,1.58,44874,57.2,458,8618,45,8,350,1,1,20 pts,9,9,1,20,0.002571759,0.002571759,9
Crucible CrossFit,United States,US,5ceb5-P50423_10-184.jpg,Jennifer,Dieter,Jennifer Dieter,Women (45-49),ACT,X,1.58,44594,61.2,453,50423,45,9,340,1,1,30 pts,4,8,1,30,0.002520139,0.002520139,8
CrossFit Berloga,Russian Federation,RU,97325-P586578_1-184.jpg,Elena,Kulik,Elena Kulik,Women (45-49),WD,X,1.68,44877,68,459,586578,48,10,20,1,1,10 pts,1,10,1,10,0.002914699,0.002914699,10
Cottontown CrossFit,United States,US,7a80c-P710834_8-184.jpg,Jana,Slyder,Jana Slyder,Women (50-54),ACT,X,1.74,44857,64.4,506,710834,50,1,650,1,1,60 pts,8,5,1,60,0.00253831,0.00253831,5
CrossFit The Club,United States,US,6cc80-P42565_3-184.jpg,Chris,Nelson,Chris Nelson,Women (50-54),ACT,X,1.65,44916,59,502,42565,50,2,630,1,1,40 pts,6,7,1,40,0.00263125,0.00263125,7
CrossFit Aurora Central,Canada,CA,ee5cb-P109033_6-184.jpg,Joyanne,Cooper,Joyanne Cooper,Women (50-54),ACT,X,1.71,44876,65.8,503,109033,50,3,540,1,1,100 pts,4,1,1,100,0.002392245,0.002392245,1
CrossFit Louvre II,France,FR,df19f-P213252_7-184.jpg,Francoise,Mahier,Francoise Mahier,Women (50-54),ACT,X,1.65,44891,57.2,505,213252,50,4,530,1,1,30 pts,3,8,1,30,0.002750579,0.002750579,8
CrossFit Tayburun,Mexico,MX,1f1e4-P729204_1-184.jpg,Maricruz,Prieto,Maricruz Prieto,Women (50-54),ACT,X,1.62,44863,59.9,507,729204,51,5,490,1,1,80 pts,2,3,1,80,0.002493056,0.002493056,3
CrossFit Active,Australia,AU,ab2f7-P321495_10-184.jpg,Belinda,Halcrow,Belinda Halcrow,Women (50-54),ACT,X,1.58,44888,59.4,501,321495,50,6,480,1,1,90 pts,5,2,1,90,0.002485069,0.002485069,2
CrossFit Coeur D'Alene,United States,US,22f40-P505635_3-184.jpg,Tia,Vesser,Tia Vesser,Women (50-54),ACT,X,1.65,44847,65.8,504,505635,50,7,420,1,1,70 pts,7,4,1,70,0.002495255,0.002495255,4
CrossFit EGA,United States,US,7881e-P80344_7-184.jpg,Alexia,Fineman,Alexia Fineman,Women (50-54),ACT,X,1.74,44932,63.5,508,80344,52,8,320,1,1,50 pts,9,6,1,50,0.002608796,0.002608796,6
CrossFit Torian,Australia,AU,d3aa0-P195717_1-184.jpg,Deborah,Schedue,Deborah Schedue,Women (50-54),ACT,X,1.65,44784,59,509,195717,51,9,280,1,1,10 pts,1,10,1,10,0.002877778,0.002877778,10
CrossFit Nordic,Sweden,SE,3935d-P55291_4-184.jpg,Jessica,Clevenvik,Jessica Clevenvik,Women (50-54),WD,X,1.74,44756,64,510,55291,50,10,120,1,1,20 pts,10,9,1,20,0.002812384,0.002812384,9
CrossFit Saskatoon,Canada,CA,1b636-P13983_4-184.jpg,Laurie,Meschishnick,Laurie Meschishnick,Women (55-59),ACT,X,1.68,44924,63.5,551,13983,55,1,640,1,1,100 pts,5,1,1,100,0.005546296,0.005546296,1
Custer CrossFit,United States,US,aebfb-P19241_6-184.jpg,Linda,Elstun,Linda Elstun,Women (55-59),ACT,X,1.71,44817,64.9,554,19241,55,2,550,1,1,40 pts,7,7,1,40,0.006967708,0.006967708,7
CrossFit Vlaardingen,Netherlands,NL,e69ff-P27530_3-184.jpg,Marion,Valkenburg,Marion Valkenburg,Women (55-59),ACT,X,1.65,44893,65.3,552,27530,55,3,460,1,1,30 pts,6,8,1,30,0.007101505,0.007101505,8
CrossFit San Benito,United States,US,cb35b-P29279_9-184.jpg,Hylie,Thompson,Hylie Thompson,Women (55-59),ACT,X,1.65,44898,63.5,553,29279,56,4,430,1,1,60 pts,4,5,1,60,0.006486806,0.006486806,5
CrossFit Type 44,United States,US,60d96-P215328_5-184.jpg,April,Watkins,April Watkins,Women (55-59),ACT,X,1.62,44844,59.9,556,215328,55,5,390,1,1,70 pts,8,4,1,70,0.006375463,0.006375463,4
CrossFit Active,Australia,AU,9929f-P24334_3-184.jpg,Lynne,Knapman,Lynne Knapman,Women (55-59),ACT,X,1.58,44888,56.7,560,24334,59,6,380,1,1,90 pts,10,2,1,90,0.005825926,0.005825926,2
CrossFit Origin,Australia,AU,fdb82-P261786_4-184.jpg,Judith,Tynan,Judith Tynan,Women (55-59),ACT,X,1.65,44905,63,555,261786,56,7,320,1,1,80 pts,3,3,1,80,0.006219213,0.006219213,3
CrossFit Westchase Largo,United States,US,d2917-P100338_8-184.jpg,Sue,Velott,Sue Velott,Women (55-59),ACT,X,1.68,44884,65.8,559,100338,56,8,250,1,1,10 pts,1,10,1,10,0.009020486,0.009020486,10
Functional Strength CrossFit,New Zealand,NZ,880d4-P13813_3-184.jpg,Debbie,Downing,Debbie Downing,Women (55-59),ACT,X,1.74,44909,59,558,13813,57,9,220,1,1,50 pts,9,6,1,50,0.006837384,0.006837384,6
CrossFit Vex,United States,US,ea150-P1900_5-184.jpg,Mary Beth,Prodromides,Mary Beth Prodromides,Women (55-59),WD,X,1.58,44895,59,557,1900,58,10,240,1,1,20 pts,2,9,1,20,0.007730903,0.007730903,9
CrossFit West Vancouver,Canada,CA,pukie.png,Susan,Clarke,Susan Clarke,Women (60+),ACT,X,1.68,44917,55.8,601,150577,60,1,700,1,1,100 pts,5,1,1,100,0.005900116,0.005900116,1
CrossFit Lindsay,Canada,CA,pukie.png,Patricia,McGill,Patricia McGill,Women (60+),ACT,X,1.77,44830,67.6,603,330392,60,2,540,1,1,70 pts,4,4,1,70,0.007796528,0.007796528,4
CrossFit Central Wellington,New Zealand,NZ,0708b-P145039_1-184.jpg,Pauline,Sciascia,Pauline Sciascia,Women (60+),ACT,X,1.62,44873,58.1,602,145039,61,3,410,1,1,50 pts,6,6,1,50,0.008392708,0.008392708,6
Roughrider CrossFit (departed),United States,US,73510-P819703_2-184.jpg,Sue,Lawson,Sue Lawson,Women (60+),ACT,X,1.58,44849,55.8,608,819703,60,4,400,1,1,80 pts,9,3,1,80,0.007425926,0.007425926,3
Functional Strength CrossFit,New Zealand,NZ,57bd9-P243666_1-184.jpg,Diana,Flynn,Diana Flynn,Women (60+),ACT,X,1.71,44909,59.9,604,243666,60,5,400,1,1,10 pts,7,10,1,10,CAP+103,CAP+103,10
CrossFit Uncommon,United States,US,433bb-P198927_3-184.jpg,Julie,Holt,Julie Holt,Women (60+),ACT,X,1.65,44947,71.2,610,198927,62,6,380,1,1,30 pts,10,8,1,30,0.009029398,0.009029398,8
Reebok CrossFit Medfield,United States,US,a6012-P312883_7-184.jpg,Carol Lynn,Thistle,Carol Lynn Thistle,Women (60+),ACT,X,1.62,44856,53.1,605,312883,62,7,310,1,1,60 pts,3,5,1,60,0.008255093,0.008255093,5
Ft. Wright CrossFit,United States,US,0b3ce-P32842_4-184.jpg,Elizabeth,Cole,Elizabeth Cole,Women (60+),ACT,X,1.25,44782,50.8,607,32842,62,8,290,1,1,40 pts,2,7,1,40,0.008497454,0.008497454,7
CrossFit Living The Dream Ajax,Canada,CA,10f1f-P702085_9-184.jpg,Christine,Long,Christine Long,Women (60+),ACT,X,1.68,44821,57.2,606,702085,60,9,250,1,1,20 pts,8,9,1,20,0.011370023,0.011370023,9
CrossFit Lions,Canada,CA,d55e0-P62910_4-184.jpg,Debby,Cook,Debby Cook,Women (60+),WD,X,1.68,44907,55.8,609,62910,60,10,190,1,1,90 pts,1,2,1,90,0.00719213,0.00719213,2
